ID,Avaliacao,Comentario,DataPublicacao
160,3,"A resposta foi clara, mas faltaram exemplos.",2023-03-13
161,4,"A resposta foi bem explicada e direta.",2023-03-19
162,5,"A experiência foi excelente, muito prestativo!",2023-10-18
163,4,"Gostei, mas poderia ter mais informações.",2023-12-25
164,1,"A resposta estava incompleta e não foi útil.",2023-03-19
165,1,"Não consegui encontrar o que precisava.",2023-05-11
166,3,"Consegui entender, mas tive que pesquisar mais.",2023-02-24
167,2,"Foi útil em partes, mas faltou precisão.",2023-02-26
168,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-08-11
169,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-12-29
170,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-05-09
171,3,"A resposta foi clara, mas faltaram exemplos.",2023-05-20
172,5,"Resposta clara e completa, me ajudou muito.",2023-08-23
173,1,"A resposta estava incompleta e não foi útil.",2023-06-26
174,3,"A resposta foi clara, mas faltaram exemplos.",2023-01-15
175,5,"A experiência foi excelente, muito prestativo!",2023-01-09
176,4,"Consegui o que precisava sem dificuldades.",2023-01-24
177,4,"Consegui o que precisava sem dificuldades.",2023-09-19
178,4,"O assistente é bom e prestativo.",2023-03-11
179,4,"O assistente é bom e prestativo.",2023-01-20
180,4,"O assistente é bom e prestativo.",2023-06-17
181,5,"Muito satisfeito com o atendimento.",2023-01-10
182,3,"Consegui entender, mas tive que pesquisar mais.",2023-10-17
183,5,"Impressionante, respondeu tudo com clareza.",2023-10-27
184,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-07-28
185,1,"Não consegui encontrar o que precisava.",2023-05-30
186,3,"Ajudou no geral, mas não foi perfeito.",2023-01-22
187,5,"Impressionante, respondeu tudo com clareza.",2023-08-12
188,4,"Foi bem útil e quase perfeito.",2023-08-10
189,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-04-06
190,5,"A experiência foi excelente, muito prestativo!",2023-06-22
191,1,"Não resolveu meu problema.",2023-05-05
192,3,"Consegui entender, mas tive que pesquisar mais.",2023-01-28
193,4,"Gostei, mas poderia ter mais informações.",2023-12-30
194,4,"Consegui o que precisava sem dificuldades.",2023-09-09
195,4,"Consegui o que precisava sem dificuldades.",2023-07-23
196,1,"Não consegui encontrar o que precisava.",2023-09-23
197,1,"Tive que repetir a pergunta várias vezes.",2023-09-06
198,5,"A experiência foi excelente, muito prestativo!",2023-01-05
199,5,"Achei a resposta perfeita e esclarecedora.",2023-05-26
200,5,"Impressionante, respondeu tudo com clareza.",2023-07-17
201,5,"Resposta clara e completa, me ajudou muito.",2023-11-01
202,2,"Respondeu parcialmente, mas não o suficiente.",2023-04-16
203,3,"Ajudou no geral, mas não foi perfeito.",2023-09-24
204,5,"Muito satisfeito com o atendimento.",2023-09-06
205,5,"Muito satisfeito com o atendimento.",2023-08-11
206,4,"A resposta foi bem explicada e direta.",2023-01-18
207,5,"A experiência foi excelente, muito prestativo!",2023-05-14
208,3,"Satisfeito, mas poderia ser mais detalhado.",2023-01-19
209,2,"Esperava uma ajuda mais aprofundada.",2023-01-24
210,1,"Não consegui encontrar o que precisava.",2023-04-26
211,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-02-09
212,1,"Não consegui encontrar o que precisava.",2023-03-30
213,5,"Muito satisfeito com o atendimento.",2023-12-25
214,1,"Tive que repetir a pergunta várias vezes.",2023-05-05
215,1,"Não resolveu meu problema.",2023-06-30
216,4,"Gostei, mas poderia ter mais informações.",2023-12-15
217,3,"Ajudou no geral, mas não foi perfeito.",2023-02-12
218,2,"Esperava uma ajuda mais aprofundada.",2023-03-04
219,3,"Ajudou no geral, mas não foi perfeito.",2023-05-30
220,1,"Não consegui encontrar o que precisava.",2023-03-28
221,2,"Esperava uma ajuda mais aprofundada.",2023-07-13
222,3,"Ajudou no geral, mas não foi perfeito.",2023-06-11
223,3,"Satisfeito, mas poderia ser mais detalhado.",2023-05-10
224,4,"Gostei, mas poderia ter mais informações.",2023-04-05
225,4,"O assistente é bom e prestativo.",2023-08-31
226,4,"O assistente é bom e prestativo.",2023-06-05
227,4,"O assistente é bom e prestativo.",2023-01-03
228,2,"Esperava uma ajuda mais aprofundada.",2023-09-24
229,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-09-22
230,3,"Ajudou no geral, mas não foi perfeito.",2023-05-26
231,1,"A resposta estava incompleta e não foi útil.",2023-06-20
232,2,"Respondeu parcialmente, mas não o suficiente.",2023-12-03
233,4,"O assistente é bom e prestativo.",2023-03-20
234,2,"A resposta foi um pouco confusa.",2023-01-15
235,5,"Muito satisfeito com o atendimento.",2023-08-14
236,1,"Não resolveu meu problema.",2023-09-23
237,2,"Foi útil em partes, mas faltou precisão.",2023-11-05
238,4,"Foi bem útil e quase perfeito.",2023-07-09
239,2,"Esperava uma ajuda mais aprofundada.",2023-06-26
240,4,"Gostei, mas poderia ter mais informações.",2023-10-24
241,3,"Satisfeito, mas poderia ser mais detalhado.",2023-02-26
242,3,"A resposta foi clara, mas faltaram exemplos.",2023-07-08
243,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-04-17
244,4,"A resposta foi bem explicada e direta.",2023-06-04
245,4,"Foi bem útil e quase perfeito.",2023-03-25
246,3,"Consegui entender, mas tive que pesquisar mais.",2023-12-01
247,4,"Consegui o que precisava sem dificuldades.",2023-12-15
248,4,"A resposta foi bem explicada e direta.",2023-12-03
249,5,"Muito satisfeito com o atendimento.",2023-07-14
250,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-06-16
251,2,"Respondeu parcialmente, mas não o suficiente.",2023-06-10
252,4,"O assistente é bom e prestativo.",2023-01-06
253,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-12-05
254,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-10-14
255,5,"Impressionante, respondeu tudo com clareza.",2023-03-15
256,3,"Ajudou no geral, mas não foi perfeito.",2023-08-06
257,4,"Gostei, mas poderia ter mais informações.",2023-01-24
258,5,"Resposta clara e completa, me ajudou muito.",2023-09-01
259,1,"Tive que repetir a pergunta várias vezes.",2023-11-01
260,2,"Respondeu parcialmente, mas não o suficiente.",2023-03-07
261,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-09-02
262,3,"Satisfeito, mas poderia ser mais detalhado.",2023-10-13
263,5,"Muito satisfeito com o atendimento.",2023-09-06
264,2,"A resposta foi um pouco confusa.",2023-12-30
265,4,"Foi bem útil e quase perfeito.",2023-08-13
266,5,"Resposta clara e completa, me ajudou muito.",2023-03-04
267,2,"Respondeu parcialmente, mas não o suficiente.",2023-09-23
268,5,"Muito satisfeito com o atendimento.",2023-04-19
269,4,"A resposta foi bem explicada e direta.",2023-09-18
270,5,"Resposta clara e completa, me ajudou muito.",2023-06-10
271,4,"Gostei, mas poderia ter mais informações.",2023-12-31
272,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-11-12
273,1,"Não resolveu meu problema.",2023-08-29
274,3,"Ajudou no geral, mas não foi perfeito.",2023-01-06
275,3,"Satisfeito, mas poderia ser mais detalhado.",2023-02-14
276,4,"A resposta foi bem explicada e direta.",2023-03-10
277,3,"Ajudou no geral, mas não foi perfeito.",2023-12-25
278,5,"Resposta clara e completa, me ajudou muito.",2023-01-15
279,5,"A experiência foi excelente, muito prestativo!",2023-08-12
280,1,"Não consegui encontrar o que precisava.",2023-09-01
281,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-06-07
282,3,"Ajudou no geral, mas não foi perfeito.",2023-01-22
283,5,"A experiência foi excelente, muito prestativo!",2023-02-05
284,3,"A resposta foi clara, mas faltaram exemplos.",2023-01-11
285,2,"Foi útil em partes, mas faltou precisão.",2023-04-19
286,1,"Tive que repetir a pergunta várias vezes.",2023-10-25
287,2,"A resposta foi um pouco confusa.",2023-05-28
288,3,"Ajudou no geral, mas não foi perfeito.",2023-06-14
289,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-03-31
290,2,"Esperava uma ajuda mais aprofundada.",2023-11-21
291,1,"Tive que repetir a pergunta várias vezes.",2023-11-11
292,4,"Consegui o que precisava sem dificuldades.",2023-04-12
293,2,"Respondeu parcialmente, mas não o suficiente.",2023-08-20
294,2,"Foi útil em partes, mas faltou precisão.",2023-06-09
295,5,"Muito satisfeito com o atendimento.",2023-09-27
296,2,"A resposta foi um pouco confusa.",2023-10-06
297,4,"O assistente é bom e prestativo.",2023-10-01
298,5,"Resposta clara e completa, me ajudou muito.",2023-05-31
299,5,"A experiência foi excelente, muito prestativo!",2023-02-14
300,1,"Não consegui encontrar o que precisava.",2023-04-16
301,3,"Consegui entender, mas tive que pesquisar mais.",2023-04-26
302,2,"Esperava uma ajuda mais aprofundada.",2023-09-02
303,1,"A resposta estava incompleta e não foi útil.",2023-08-22
304,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-01-16
305,4,"Consegui o que precisava sem dificuldades.",2023-12-30
306,3,"Consegui entender, mas tive que pesquisar mais.",2023-01-14
307,5,"A experiência foi excelente, muito prestativo!",2023-12-15
308,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-12-14
309,5,"Resposta clara e completa, me ajudou muito.",2023-03-31
310,1,"Não resolveu meu problema.",2023-08-17
311,5,"Resposta clara e completa, me ajudou muito.",2023-01-26
312,1,"A resposta estava incompleta e não foi útil.",2023-10-31
313,1,"Não consegui encontrar o que precisava.",2023-10-25
314,4,"A resposta foi bem explicada e direta.",2023-10-17
315,5,"Muito satisfeito com o atendimento.",2023-11-01
316,4,"Gostei, mas poderia ter mais informações.",2023-01-26
317,3,"A resposta foi clara, mas faltaram exemplos.",2023-04-05
318,5,"A experiência foi excelente, muito prestativo!",2023-07-02
319,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-08-29
320,1,"Tive que repetir a pergunta várias vezes.",2023-08-23
321,1,"Tive que repetir a pergunta várias vezes.",2023-02-23
322,4,"Consegui o que precisava sem dificuldades.",2023-07-12
323,3,"Satisfeito, mas poderia ser mais detalhado.",2023-05-25
324,5,"Muito satisfeito com o atendimento.",2023-06-22
325,5,"Muito satisfeito com o atendimento.",2023-06-20
326,2,"Respondeu parcialmente, mas não o suficiente.",2023-09-18
327,2,"A resposta foi um pouco confusa.",2023-11-09
328,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-01-03
329,5,"Resposta clara e completa, me ajudou muito.",2023-09-20
330,1,"A resposta estava incompleta e não foi útil.",2023-06-02
331,3,"Consegui entender, mas tive que pesquisar mais.",2023-09-05
332,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-07-30
333,1,"Não consegui encontrar o que precisava.",2023-04-20
334,5,"Muito satisfeito com o atendimento.",2023-12-06
335,5,"Impressionante, respondeu tudo com clareza.",2023-01-16
336,5,"Resposta clara e completa, me ajudou muito.",2023-11-01
337,3,"Satisfeito, mas poderia ser mais detalhado.",2023-09-26
338,4,"Gostei, mas poderia ter mais informações.",2023-08-05
339,2,"Foi útil em partes, mas faltou precisão.",2023-01-03
340,3,"Ajudou no geral, mas não foi perfeito.",2023-12-13
341,3,"Consegui entender, mas tive que pesquisar mais.",2023-08-28
342,3,"Consegui entender, mas tive que pesquisar mais.",2023-11-24
343,3,"A resposta foi clara, mas faltaram exemplos.",2023-06-07
344,3,"Ajudou no geral, mas não foi perfeito.",2023-03-22
345,5,"Impressionante, respondeu tudo com clareza.",2023-12-09
346,3,"Consegui entender, mas tive que pesquisar mais.",2023-03-21
347,1,"Não resolveu meu problema.",2023-08-08
348,3,"Consegui entender, mas tive que pesquisar mais.",2023-08-14
349,4,"Foi bem útil e quase perfeito.",2023-04-23
350,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-03-26
351,2,"A resposta foi um pouco confusa.",2023-09-14
352,4,"Foi bem útil e quase perfeito.",2023-07-22
353,2,"A resposta foi um pouco confusa.",2023-10-27
354,3,"Satisfeito, mas poderia ser mais detalhado.",2023-07-27
355,4,"Consegui o que precisava sem dificuldades.",2023-04-21
356,4,"A resposta foi bem explicada e direta.",2023-04-27
357,3,"A resposta foi clara, mas faltaram exemplos.",2023-09-22
358,2,"Foi útil em partes, mas faltou precisão.",2023-02-23
359,1,"Não resolveu meu problema.",2023-04-02
360,3,"A resposta foi clara, mas faltaram exemplos.",2023-03-17
361,3,"Satisfeito, mas poderia ser mais detalhado.",2023-05-17
362,1,"A resposta estava incompleta e não foi útil.",2023-12-11
363,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-05-13
364,3,"A resposta foi clara, mas faltaram exemplos.",2023-05-19
365,5,"Achei a resposta perfeita e esclarecedora.",2023-03-28
366,1,"O assistente deu uma resposta incoerente com minha dúvida.",2023-11-28
367,3,"A resposta foi clara, mas faltaram exemplos.",2023-10-08
368,1,"Não resolveu meu problema.",2023-09-26
369,2,"A resposta foi um pouco confusa.",2023-07-03
370,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-07-15
371,5,"Muito satisfeito com o atendimento.",2023-12-11
372,4,"Consegui o que precisava sem dificuldades.",2023-11-24
373,2,"Esperava uma ajuda mais aprofundada.",2023-07-13
374,4,"Gostei, mas poderia ter mais informações.",2023-01-02
375,5,"Muito satisfeito com o atendimento.",2023-06-05
376,1,"A resposta estava incompleta e não foi útil.",2023-01-25
377,2,"Respondeu parcialmente, mas não o suficiente.",2023-07-05
378,1,"A resposta estava incompleta e não foi útil.",2023-09-26
379,2,"A resposta foi um pouco confusa.",2023-03-23
380,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-05-20
381,4,"A resposta foi bem explicada e direta.",2023-06-23
382,4,"O assistente é bom e prestativo.",2023-09-06
383,2,"Respondeu parcialmente, mas não o suficiente.",2023-07-16
384,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-02-20
385,5,"Impressionante, respondeu tudo com clareza.",2023-09-22
386,3,"Satisfeito, mas poderia ser mais detalhado.",2023-07-03
387,3,"Consegui entender, mas tive que pesquisar mais.",2023-02-09
388,4,"Consegui o que precisava sem dificuldades.",2023-08-26
389,5,"Impressionante, respondeu tudo com clareza.",2023-01-20
390,1,"A resposta estava incompleta e não foi útil.",2023-07-25
391,1,"Não resolveu meu problema.",2023-05-26
392,1,"Tive que repetir a pergunta várias vezes.",2023-10-09
393,2,"Respondeu parcialmente, mas não o suficiente.",2023-11-15
394,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-11-27
395,2,"Esperava uma ajuda mais aprofundada.",2023-06-03
396,1,"Não resolveu meu problema.",2023-03-30
397,3,"Satisfeito, mas poderia ser mais detalhado.",2023-07-27
398,4,"O assistente é bom e prestativo.",2023-10-30
399,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-02-22
400,5,"Resposta clara e completa, me ajudou muito.",2023-08-30
401,5,"Impressionante, respondeu tudo com clareza.",2023-09-29
402,4,"O assistente é bom e prestativo.",2023-02-27
403,5,"Muito satisfeito com o atendimento.",2023-06-23
404,4,"O assistente é bom e prestativo.",2023-01-01
405,5,"Achei a resposta perfeita e esclarecedora.",2023-02-07
406,3,"Consegui entender, mas tive que pesquisar mais.",2023-07-03
407,4,"Gostei, mas poderia ter mais informações.",2023-07-27
408,5,"Achei a resposta perfeita e esclarecedora.",2023-03-11
409,5,"Muito satisfeito com o atendimento.",2023-05-01
410,2,"A resposta foi um pouco confusa.",2023-12-23
411,1,"A resposta estava incompleta e não foi útil.",2023-07-03
412,5,"Achei a resposta perfeita e esclarecedora.",2023-02-05
413,1,"Não resolveu meu problema.",2023-10-07
414,2,"Respondeu parcialmente, mas não o suficiente.",2023-12-02
415,2,"A resposta foi um pouco confusa.",2023-02-14
416,4,"A resposta foi bem explicada e direta.",2023-05-11
417,2,"A resposta foi um pouco confusa.",2023-05-28
418,5,"Achei a resposta perfeita e esclarecedora.",2023-05-17
419,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-06-22
420,4,"O assistente é bom e prestativo.",2023-11-10
421,3,"Consegui entender, mas tive que pesquisar mais.",2023-02-28
422,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-09-16
423,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-11-04
424,5,"Achei a resposta perfeita e esclarecedora.",2023-06-27
425,3,"A resposta foi clara, mas faltaram exemplos.",2023-06-10
426,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-06-04
427,3,"Ajudou no geral, mas não foi perfeito.",2023-09-17
428,2,"Precisei de mais detalhes, mas foi uma ajuda básica.",2023-08-20
429,5,"Impressionante, respondeu tudo com clareza.",2023-02-19
430,4,"Consegui o que precisava sem dificuldades.",2023-11-22
431,2,"Respondeu parcialmente, mas não o suficiente.",2023-11-27
432,5,"Achei a resposta perfeita e esclarecedora.",2023-08-26
433,2,"Foi útil em partes, mas faltou precisão.",2023-03-04
434,3,"Ajudou no geral, mas não foi perfeito.",2023-05-20
435,2,"Esperava uma ajuda mais aprofundada.",2023-11-06
436,3,"Foi uma boa experiência, mas poderia ser melhor.",2023-11-12
437,5,"Resposta clara e completa, me ajudou muito.",2023-12-23
438,2,"Foi útil em partes, mas faltou precisão.",2023-10-28
439,4,"Foi bem útil e quase perfeito.",2023-09-09
440,3,"A resposta foi clara, mas faltaram exemplos.",2023-12-31
441,1,"Não resolveu meu problema.",2023-08-05
442,3,"A resposta foi clara, mas faltaram exemplos.",2023-08-11
443,1,"Tive que repetir a pergunta várias vezes.",2023-03-01
444,3,"Consegui entender, mas tive que pesquisar mais.",2023-11-05
445,3,"Consegui entender, mas tive que pesquisar mais.",2023-11-23
446,5,"Muito satisfeito com o atendimento.",2023-09-25
447,3,"Ajudou no geral, mas não foi perfeito.",2023-05-29
448,4,"A resposta foi bem explicada e direta.",2023-09-28
449,4,"Gostei, mas poderia ter mais informações.",2023-01-21
450,5,"Resposta clara e completa, me ajudou muito.",2023-02-22
451,4,"Gostei, mas poderia ter mais informações.",2023-01-27
452,3,"Consegui entender, mas tive que pesquisar mais.",2023-11-19
453,5,"A experiência foi excelente, muito prestativo!",2023-07-12
454,1,"Não consegui encontrar o que precisava.",2023-02-09
